INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2016,2,17,36.5,20.5,0.0
42933,2016,2,18,36.7,13.0,0.0
42933,2016,2,19,36.9,20.1,0.0
42933,2016,2,20,38.4,19.6,0.0
42933,2016,2,21,35.7,22.8,0.0
42933,2016,2,22,37.1,23.0,0.0
42933,2016,2,23,36.5,20.6,0.0
42933,2016,2,24,37.3,19.6,0.0
42933,2016,2,25,37.3,18.7,0.0
42933,2016,2,26,37.2,19.0,0.0
42933,2016,2,27,38.3,23.4,0.0
42933,2016,2,28,37.1,22.5,0.0
42933,2016,2,29,37.6,23.0,0.0
42933,2016,3,1,36.6,21.6,0.0
42933,2016,3,2,36.1,20.5,0.0
42933,2016,3,3,36.9,22.6,0.0
42933,2016,3,4,38.6,22.4,0.0
42933,2016,3,5,36.0,21.6,0.0
42933,2016,3,6,38.1,22.1,0.0
42933,2016,3,7,37.2,23.8,0.0
42933,2016,3,8,37.5,20.9,0.0
42933,2016,3,9,37.5,21.1,0.0
42933,2016,3,10,37.6,20.4,0.0
42933,2016,3,11,34.3,20.6,0.0
42933,2016,3,12,40.5,24.0,0.0
42933,2016,3,13,40.1,24.0,0.0
42933,2016,3,14,37.2,21.0,0.0
42933,2016,3,15,35.6,18.5,0.0
42933,2016,3,16,37.2,22.4,0.0
42933,2016,3,17,37.6,24.6,0.0
42933,2016,3,18,39.0,23.0,0.0
42933,2016,3,19,39.5,23.2,0.0
42933,2016,3,20,38.8,23.2,0.0
42933,2016,3,21,39.0,20.2,0.0
42933,2016,3,22,39.0,21.6,0.0
42933,2016,3,23,40.1,19.5,0.0
42933,2016,3,24,40.5,20.5,0.0
42933,2016,3,25,42.1,22.5,0.0
42933,2016,3,26,42.6,23.6,0.0
42933,2016,3,27,43.1,25.0,0.8
42933,2016,3,28,40.2,23.0,0.4
42933,2016,3,29,40.1,21.4,0.0
42933,2016,3,30,41.6,23.5,0.0
42933,2016,3,31,42.7,22.8,0.0
42933,2016,4,1,41.2,21.6,0.0
42933,2016,4,2,42.0,22.5,0.0
42933,2016,4,3,42.7,24.5,0.0
42933,2016,4,4,43.8,27.3,0.0
42933,2016,4,5,44.0,29.0,0.0
42933,2016,4,6,41.4,27.7,0.0
42933,2016,4,7,41.1,27.0,0.0
42933,2016,4,8,40.5,26.1,0.0
42933,2016,4,9,42.0,26.3,0.0
42933,2016,4,10,42.3,28.1,0.0
42933,2016,4,11,42.3,25.5,0.0
42933,2016,4,12,41.2,25.7,0.0
42933,2016,4,13,41.6,26.6,0.0
42933,2016,4,14,41.5,33.5,0.0
42933,2016,4,15,43.7,25.7,0.0
42933,2016,4,16,44.4,25.7,0.0
42933,2016,4,17,44.4,27.5,0.0
42933,2016,4,18,42.2,26.4,0.0
42933,2016,4,19,43.5,28.5,0.0
42933,2016,4,20,44.7,30.7,0.0
42933,2016,4,21,45.0,29.8,0.0
42933,2016,4,22,43.6,28.7,0.0
42933,2016,4,23,41.7,26.6,0.0
42933,2016,4,24,40.3,26.6,0.0
42933,2016,4,25,40.5,27.2,0.0
42933,2016,4,26,42.0,26.0,0.0
42933,2016,4,27,43.6,26.1,0.0
42933,2016,4,28,43.7,26.2,0.0
42933,2016,4,29,43.6,28.0,0.0
42933,2016,4,30,45.0,30.0,0.0
42933,2016,5,1,43.7,29.6,0.0
42933,2016,5,2,45.0,30.0,0.0
42933,2016,5,3,43.2,27.2,0.0
42933,2016,5,4,43.6,28.2,0.0
42933,2016,5,5,44.1,27.5,0.0
42933,2016,5,6,41.4,24.2,0.0
42933,2016,5,7,39.3,21.3,12.3
42933,2016,5,8,39.6,25.6,0.0
42933,2016,5,9,41.8,24.6,0.0
42933,2016,5,10,39.7,25.2,0.0
42933,2016,5,11,41.0,27.6,0.0
42933,2016,5,12,42.7,30.3,0.0
42933,2016,5,13,43.6,29.9,1.1
42933,2016,5,14,44.7,30.7,0.0
42933,2016,5,15,44.2,27.0,0.0
42933,2016,5,16,45.3,29.0,0.0
42933,2016,5,17,45.0,29.2,0.0
42933,2016,5,18,46.3,30.5,0.0
42933,2016,5,19,43.1,32.9,0.0
42933,2016,5,20,46.3,31.1,0.2
42933,2016,5,21,43.8,29.7,0.0
42933,2016,5,22,42.5,29.1,0.0
42933,2016,5,23,42.5,29.0,0.0
42933,2016,5,24,41.4,28.9,0.0
42933,2016,5,25,41.1,28.9,0.0
42933,2016,5,26,40.8,29.5,0.0
42933,2016,5,27,41.4,28.4,0.0
42933,2016,5,28,41.2,29.1,0.0
42933,2016,5,29,41.3,29.4,0.0
42933,2016,5,30,39.6,29.0,0.0
42933,2016,5,31,40.6,29.5,0.0
42933,2016,6,1,41.5,29.7,0.0
42933,2016,6,2,42.6,30.3,0.0
42933,2016,6,3,42.6,30.9,0.0
42933,2016,6,4,43.6,31.2,0.6
42933,2016,6,5,44.8,28.0,0.0
42933,2016,6,6,43.0,26.5,1.6
42933,2016,6,7,40.9,23.0,23.9
42933,2016,6,8,39.0,29.0,0.0
42933,2016,6,9,41.3,25.6,4.0
42933,2016,6,10,38.7,29.5,0.0
42933,2016,6,11,35.1,29.0,0.0
42933,2016,6,12,39.1,29.2,0.0
42933,2016,6,13,39.5,29.1,0.0
42933,2016,6,14,39.1,28.6,0.0
42933,2016,6,15,31.3,28.9,0.0
42933,2016,6,16,39.2,28.5,0.0
42933,2016,6,17,39.6,28.9,0.0
42933,2016,6,18,39.0,23.4,6.7
42933,2016,6,19,33.0,25.0,1.7
42933,2016,6,20,35.5,24.5,41.2
42933,2016,6,21,34.1,26.3,3.8
42933,2016,6,22,35.9,25.0,31.6
42933,2016,6,23,36.2,23.3,76.0
42933,2016,6,24,35.3,27.3,0.0
42933,2016,6,25,35.6,24.5,4.6
42933,2016,6,26,33.7,25.4,0.0
42933,2016,6,27,36.5,24.9,2.3
42933,2016,6,28,35.0,25.9,1.2
42933,2016,6,29,33.9,25.0,2.0
42933,2016,6,30,30.6,24.8,24.4
42933,2016,7,1,30.0,25.5,0.0
42933,2016,7,2,34.5,26.7,0.0
42933,2016,7,3,34.0,24.5,12.9
42933,2016,7,4,33.1,25.0,20.9
42933,2016,7,5,32.5,24.3,15.2
42933,2016,7,6,30.3,25.1,0.2
42933,2016,7,7,29.5,25.4,0.0
42933,2016,7,8,30.6,25.4,0.0
42933,2016,7,9,27.3,24.5,13.4
42933,2016,7,10,28.5,24.0,12.6
42933,2016,7,11,25.8,23.3,84.3
42933,2016,7,12,25.5,23.0,64.7
42933,2016,7,13,27.5,24.0,4.8
42933,2016,7,14,32.6,23.5,0.2
42933,2016,7,15,33.4,24.4,0.8
42933,2016,7,16,33.0,25.0,0.0
42933,2016,7,17,34.5,25.1,1.6
42933,2016,7,18,34.4,25.9,0.0
42933,2016,7,19,30.5,23.9,5.2
42933,2016,7,20,30.2,24.5,0.4
42933,2016,7,21,31.5,25.3,0.0
42933,2016,7,22,37.5,25.1,0.1
42933,2016,7,23,31.2,23.0,8.1
42933,2016,7,24,31.2,23.6,22.1
42933,2016,7,25,32.6,23.4,37.2
42933,2016,7,26,31.7,24.6,6.7
42933,2016,7,27,29.8,23.3,41.8
42933,2016,7,28,28.2,23.6,66.4
42933,2016,7,29,30.8,24.8,0.0
42933,2016,7,30,31.3,24.9,0.0
